# Names as the emulator reads them out of the romset, with the region it states.
# 'check' rows are where your label shares no word with the emulator's.
romset	your label	game	region	suggested name	class
clocknch.zip	Lock'n'Chase (DECO Cassette)	Lock'n'Chase (DECO Cassette)	USA	Lock'n'Chase (DECO Cassette) (USA)	alias
cloud9.zip	Cloud 9	Cloud 9 (prototype)	—	Cloud 9 (prototype)	alias
clshroad.zip	Clash-road	Clash-Road	—	Clash-Road	alias
cltchitr.zip	Clutch Hitter	Clutch Hitter (FD1094 317-0176)	USA	Clutch Hitter (FD1094 317-0176) (USA)	alias
clubpacm.zip	Pacman Club / Club Lambada	Pacman Club / Club Lambada (Argentina)	—	Pacman Club / Club Lambada (Argentina)	alias
cluckypo.zip	Lucky Poker	Lucky Poker (DECO Cassette)	USA	Lucky Poker (DECO Cassette) (USA)	alias
cmanhat.zip	Manhattan	Manhattan (DECO Cassette)	Japan	Manhattan (DECO Cassette) (Japan)	alias
cmissnx.zip	Mission-X	Mission-X (DECO Cassette)	USA	Mission-X (DECO Cassette) (USA)	alias
cnbe.zip	Codename - Blut Engel	Codename - Blut Engel (HB, ver. 20060119)	—	Codename - Blut Engel (HB, ver. 20060119)	alias
cndi.zip	ZZZ(notgame):Demos	Chip n Dale (FMV Demo)	—	Chip n Dale (FMV Demo)	check
cnebula.zip	Nebula	Nebula (DECO Cassette)	UK	Nebula (DECO Cassette) (UK)	alias
cnightst.zip	Night Star	Night Star (DECO Cassette) (set 1)	USA	Night Star (DECO Cassette) (set 1) (USA)	alias
cninja.zip	Caveman Ninja	Caveman Ninja (World ver 4)	—	Caveman Ninja (World ver 4)	alias
cobracom.zip	Cobra-command	Cobra-Command (World/US revision 5)	—	Cobra-Command (World/US revision 5)	alias
cocean1a.zip	Ocean To Ocean	Ocean to Ocean (Medal) (DECO Cassette MD) (No.10/Ver.1)	Japan	Ocean to Ocean (Medal) (DECO Cassette MD) (No.10/Ver.1) (Japan)	alias
colony7.zip	Colony 7	Colony 7 (set 1)	—	Colony 7 (set 1)	alias
columns2.zip	Columns II: The Voyage Through Time	Columns II: The Voyage Through Time	World	Columns II: The Voyage Through Time (World)	alias
columnsn.zip	Columns (Neo-Geo)	Columns - Neo Geo (HB)	—	Columns - Neo Geo (HB)	alias
combatsc.zip	Boot Camp	Combat School (joystick)	—	Combat School (joystick)	check
commandw.zip	Command War - Super Special Battle & War Game	Command War - Super Special Battle & War Game (Ver 0.0J, prototype)	—	Command War - Super Special Battle & War Game (Ver 0.0J, prototype)	alias
commsega.zip	Commando	Commando (Sega)	—	Commando (Sega)	alias
comotion.zip	Comotion	CoMotion	—	CoMotion	alias
compgolf.zip	Competition Golf Final Round	Competition Golf Final Round (World?, revision 3)	—	Competition Golf Final Round (World?, revision 3)	alias
congo.zip	Congo Bongo	Congo Bongo (Rev C, 2 board stack)	—	Congo Bongo (Rev C, 2 board stack)	alias
contcirc.zip	Continental Circus	Continental Circus	World	Continental Circus (World)	alias
contraj.zip	Contra	Contra (set 1)	Japan	Contra (set 1) (Japan)	alias
cookbib.zip	Cookie & Bibi	Cookie & Bibi (set 1)	—	Cookie & Bibi (set 1)	alias
cookbib2.zip	Cookie & Bibi 2	Cookie & Bibi 2 (English, set 1)	—	Cookie & Bibi 2 (English, set 1)	alias
coozumou.zip	Oozumou - The Grand Sumo	Oozumou - The Grand Sumo (DECO Cassette)	Japan	Oozumou - The Grand Sumo (DECO Cassette) (Japan)	alias
cop01.zip	Cop 01	Cop 01 (set 1)	—	Cop 01 (set 1)	alias
cosmccop.zip	Cosmic Cop	Cosmic Cop	World	Cosmic Cop (World)	alias
cosmogng.zip	Cosmo Gang The Video	Cosmo Gang the Video	USA	Cosmo Gang the Video (USA)	alias
cotton.zip	Cotton: Fantastic Night Dreams	Cotton (set 4) (FD1094 317-0181a)	World	Cotton (set 4) (FD1094 317-0181a) (World)	alias
countrunb.zip	Counter Run	Counter Run (bootleg set 1)	—	Counter Run (bootleg set 1)	alias
cphd.zip	Crouching Pony Hidden Dragon	Crouching Poney Hidden Dragon (HB, Demo)	—	Crouching Poney Hidden Dragon (HB, Demo)	alias
cppicf.zip	Peter Pepper's Ice Cream Factory	Peter Pepper's Ice Cream Factory (DECO Cassette) (set 1)	USA	Peter Pepper's Ice Cream Factory (DECO Cassette) (set 1) (USA)	alias
cprobowl.zip	Pro Bowling	Pro Bowling (DECO Cassette)	USA	Pro Bowling (DECO Cassette) (USA)	alias
cprogolf.zip	Tournament Pro Golf	Tournament Pro Golf (DECO Cassette)	USA	Tournament Pro Golf (DECO Cassette) (USA)	alias
cps1demo.zip	ZZZ(notgame):Chaos Demo	Chaos Demo (CPS-1)	—	Chaos Demo (CPS-1)	alias
cps1frog.zip	Frog Feast	Frog Feast (CPS-1)	—	Frog Feast (CPS-1)	alias
cpsoccer.zip	Pro Soccer	Pro Soccer (DECO Cassette)	USA	Pro Soccer (DECO Cassette) (USA)	alias
cptennis.zip	Pro Tennis	Pro Tennis (DECO Cassette)	USA	Pro Tennis (DECO Cassette) (USA)	alias
cracksht.zip	Crackshot	Crackshot (version 2.0)	—	Crackshot (version 2.0)	alias
crashh.zip	Crash	Crash (Pac-Man)	—	Crash (Pac-Man)	alias
crbaloon.zip	Crazy Balloon	Crazy Balloon (set 1)	—	Crazy Balloon (set 1)	alias
crimec.zip	Crime City	Crime City	World	Crime City (World)	alias
crimfght.zip	Crime Fighters	Crime Fighters (World 2 players)	—	Crime Fighters (World 2 players)	alias
crkdown.zip	Crack Down	Crack Down (Floppy Based, FD1094 317-0058-04c)	World	Crack Down (Floppy Based, FD1094 317-0058-04c) (World)	alias
croquis.zip	Logic Pro	Croquis	Korea	Croquis (Korea)	check
crshrace.zip	Lethal Crash Race	Lethal Crash Race / Bakuretsu Crash Race (set 1)	—	Lethal Crash Race / Bakuretsu Crash Race (set 1)	alias
crswd2bl.zip	Crossed Swords II	Crossed Swords 2 (bootleg of CD version)	—	Crossed Swords 2 (bootleg of CD version)	alias
crsword.zip	Crossed Swords	Crossed Swords (ALM-002 ~ ALH-002)	—	Crossed Swords (ALM-002 ~ ALH-002)	alias
crush.zip	Make Trax	Crush Roller (set 1)	—	Crush Roller (set 1)	check
crusherm.zip	Crusher Makochan	Crusher Makochan	Japan	Crusher Makochan (Japan)	alias
crzrally.zip	Crazy Rally	Crazy Rally (set 1)	—	Crazy Rally (set 1)	alias
csclub.zip	Capcom Sports Club	Capcom Sports Club (Europe 971017)	—	Capcom Sports Club (Europe 971017)	alias
cscrtry.zip	Scrum Try	Scrum Try (DECO Cassette) (set 1)	USA	Scrum Try (DECO Cassette) (set 1) (USA)	alias
csdtenis.zip	Super Doubles Tennis	Super Doubles Tennis (DECO Cassette)	Japan	Super Doubles Tennis (DECO Cassette) (Japan)	alias
csilver.zip	Captain Silver	Captain Silver	World	Captain Silver (World)	alias
cskater.zip	Skater	Skater (DECO Cassette)	Japan	Skater (DECO Cassette) (Japan)	alias
csuperas.zip	Super Astro Fighter	Super Astro Fighter (DECO Cassette)	USA	Super Astro Fighter (DECO Cassette) (USA)	alias
cterrani.zip	Terranean	Terranean (DECO Cassette)	USA	Terranean (DECO Cassette) (USA)	alias
ctisland.zip	Treasure Island	Treasure Island (DECO Cassette) (set 1)	USA	Treasure Island (DECO Cassette) (set 1) (USA)	alias
ctornado.zip	Tornado	Tornado (DECO Cassette)	USA	Tornado (DECO Cassette) (USA)	alias
ctower.zip	The Tower (DECO Cassette)	The Tower (DECO Cassette)	Europe	The Tower (DECO Cassette) (Europe)	alias
ctribe.zip	The Combatribes	The Combatribes (rev 2, set 1)	USA	The Combatribes (rev 2, set 1) (USA)	alias
ctsttape.zip	ZZZ(notgame):Test Tape	Test Tape (DECO Cassette)	USA	Test Tape (DECO Cassette) (USA)	alias
cubybop.zip	Cuby Bop	Cuby Bop (location test)	—	Cuby Bop (location test)	alias
cuebrick.zip	Cue Brick	Cue Brick (version D)	World	Cue Brick (version D) (World)	alias
cultures.zip	Jibun Wo Migaku Culture School Mahjong Hen	Jibun wo Migaku Culture School Mahjong Hen	—	Jibun wo Migaku Culture School Mahjong Hen	alias
cupfinal.zip	Taito Cup Finals	Taito Cup Finals (Ver 1.0O 1993/02/28)	—	Taito Cup Finals (Ver 1.0O 1993/02/28)	alias
cyberlip.zip	Cyber-Lip	Cyber-Lip (NGM-010)	—	Cyber-Lip (NGM-010)	alias
cybertnk.zip	Cyber Tank	Cyber Tank (v1.4)	—	Cyber Tank (v1.4)	alias
cybots.zip	Cyberbots: Fullmetal Madness	Cyberbots: Fullmetal Madness (Europe 950424)	—	Cyberbots: Fullmetal Madness (Europe 950424)	alias
cyclemb.zip	Cycle Maabou	Cycle Maabou	Japan	Cycle Maabou (Japan)	alias
cyvern.zip	Cyvern: The Dragon Weapons	Cyvern - The Dragon Weapons	USA	Cyvern - The Dragon Weapons (USA)	alias
czeroize.zip	Zeroize	Zeroize (DECO Cassette)	USA	Zeroize (DECO Cassette) (USA)	alias
daikaiju.zip	Daikaiju No Gyakushu	Daikaiju no Gyakushu (rev 1)	—	Daikaiju no Gyakushu (rev 1)	alias
dambustr.zip	Dambusters	Dambusters (set 1)	USA	Dambusters (set 1) (USA)	alias
dangar.zip	UFO Robo Dangar	Ufo Robo Dangar (4/09/1987)	—	Ufo Robo Dangar (4/09/1987)	alias
dangseed.zip	Dangerous Seed	Dangerous Seed	Japan	Dangerous Seed (Japan)	alias
dankuga.zip	Dan-ku-ga	Dan-Ku-Ga (Ver 0.0J 1994/12/13, prototype)	—	Dan-Ku-Ga (Ver 0.0J 1994/12/13, prototype)	alias
daraku.zip	The Fallen Angels	The Fallen Angels / Daraku Tenshi: The Fallen Angels	World	The Fallen Angels / Daraku Tenshi: The Fallen Angels (World)	alias
darius.zip	Darius (World, rev 2)	Darius (rev 2)	World	Darius (rev 2) (World)	alias
darius2.zip	Darius II	Darius II (triple screen) (rev 1)	Japan	Darius II (triple screen) (rev 1) (Japan)	alias
dariusg.zip	Darius Gaiden - Silver Hawk	Darius Gaiden - Silver Hawk (Ver 2.5O 1994/09/19)	—	Darius Gaiden - Silver Hawk (Ver 2.5O 1994/09/19)	alias
dariusgx.zip	Darius Gaiden - Silver Hawk Extra Version	Darius Gaiden - Silver Hawk Extra Version (Ver 2.7J 1995/03/06) (Official Hack)	—	Darius Gaiden - Silver Hawk Extra Version (Ver 2.7J 1995/03/06) (Official Hack)	alias
darkedge.zip	Dark Edge	Dark Edge	World	Dark Edge (World)	alias
darkseal.zip	Dark Seal	Dark Seal (World revision 3)	—	Dark Seal (World revision 3)	alias
darwin.zip	Darwin 4078	Darwin 4078	Japan	Darwin 4078 (Japan)	alias
dassault.zip	Desert Assault	Desert Assault	USA	Desert Assault (USA)	alias
dblaxle.zip	Double Axle	Double Axle (Rev 1, set 1)	USA	Double Axle (Rev 1, set 1) (USA)	alias
dbldynj.zip	The Double Dynamites	The Double Dynamites (13NOV89)	Japan	The Double Dynamites (13NOV89) (Japan)	alias
dblewing.zip	Double Wings	Double Wings (set 1)	—	Double Wings (set 1)	alias
dbreed.zip	Dragon Breed	Dragon Breed (M81 hardware)	World	Dragon Breed (M81 hardware) (World)	alias
dbz.zip	DragonBall Z	Dragon Ball Z (rev B)	—	Dragon Ball Z (rev B)	alias
dbz2.zip	Dragonball Z 2 - Super Battle	Dragon Ball Z 2 - Super Battle	—	Dragon Ball Z 2 - Super Battle	alias
dbzvrvs.zip	Dragon Ball Z V.r.v.s.	Dragon Ball Z: V.R. V.S. (Rev A)	Japan	Dragon Ball Z: V.R. V.S. (Rev A) (Japan)	alias
dcclub.zip	Dynamic Country Club	Dynamic Country Club (ROM Based)	World	Dynamic Country Club (ROM Based) (World)	alias
dcon.zip	D-con	D-Con	—	D-Con	alias
dday.zip	D-day	D-Day	—	D-Day	alias
ddayjlc.zip	D-day	D-Day (Jaleco set 1)	—	D-Day (Jaleco set 1)	alias
ddcrew.zip	D. D. Crew	D. D. Crew (3 Players) (FD1094 317-0190)	World	D. D. Crew (3 Players) (FD1094 317-0190) (World)	alias
ddcrew2.zip	D. D. Crew	D. D. Crew (2 Players) (FD1094 317-0184)	World	D. D. Crew (2 Players) (FD1094 317-0184) (World)	alias
dderby.zip	dderby	Death Derby	—	Death Derby	check
ddonpach.zip	DoDonPachi	DoDonPachi (1997 2/ 5 Master Ver.)	World	DoDonPachi (1997 2/ 5 Master Ver.) (World)	alias
ddp2.zip	DoDonPachi II - Bee Storm	DoDonPachi II - Bee Storm (ver. 102)	World	DoDonPachi II - Bee Storm (ver. 102) (World)	alias
ddp3.zip	DoDonPachi DaiOuJou	DoDonPachi III (2002.05.15 Master Ver)	World	DoDonPachi III (2002.05.15 Master Ver) (World)	alias
ddpdfk.zip	DoDonPachi Resurrection	DoDonPachi Dai-Fukkatsu Ver 1.5 (2008/06/23 MASTER VER 1.5)	—	DoDonPachi Dai-Fukkatsu Ver 1.5 (2008/06/23 MASTER VER 1.5)	alias
ddpdoj.zip	DoDonPachi DaiOuJou	DoDonPachi Dai-Ou-Jou (2002.04.05.Master Ver, 68k Label V101)	Japan	DoDonPachi Dai-Ou-Jou (2002.04.05.Master Ver, 68k Label V101) (Japan)	alias
ddragon2.zip	Double Dragon II - The Revenge	Double Dragon II: The Revenge	World	Double Dragon II: The Revenge (World)	alias
ddragon3.zip	Double Dragon 3 - The Rosetta Stone	Double Dragon 3: The Rosetta Stone	USA	Double Dragon 3: The Rosetta Stone (USA)	alias
ddragonj.zip	Double Dragon	Double Dragon (Japan set 1)	—	Double Dragon (Japan set 1)	alias
ddsom.zip	Dungeons & Dragons: Shadow over Mystara	Dungeons & Dragons: Shadow over Mystara (Europe 960619)	—	Dungeons & Dragons: Shadow over Mystara (Europe 960619)	alias
ddtod.zip	Dungeons & Dragons: Tower of Doom	Dungeons & Dragons: Tower of Doom (Europe 940412)	—	Dungeons & Dragons: Tower of Doom (Europe 940412)	alias
ddungeon.zip	Dangerous Dungeons	Dangerous Dungeons (set 1)	—	Dangerous Dungeons (set 1)	alias
ddux.zip	Dynamite Dux	Dynamite Dux (set 3) (FD1094 317-0096)	World	Dynamite Dux (set 3) (FD1094 317-0096) (World)	alias
deadconx.zip	Dead Connection	Dead Connection	World	Dead Connection (World)	alias
deathsml.zip	Deathsmiles	Deathsmiles (2007/10/09 MASTER VER)	—	Deathsmiles (2007/10/09 MASTER VER)	alias
decomult.zip	ZZZ(notgame):Deco Cassette System Multigame	DECO Cassette System ROM Multigame (David Widel)	—	DECO Cassette System ROM Multigame (David Widel)	alias
deerhunt.zip	Deer Hunting Usa V4.3	Deer Hunting USA V4.3	—	Deer Hunting USA V4.3	alias
deluxe5.zip	Deluxe 5	Deluxe 5 (ver. 0107, 07/01/2000, set 1)	—	Deluxe 5 (ver. 0107, 07/01/2000, set 1)	alias
demonwld.zip	Demon's World	Demon's World / Horror Story (set 1)	World	Demon's World / Horror Story (set 1) (World)	alias
denjinmk.zip	Denjin Makai	Denjin Makai (set 1)	—	Denjin Makai (set 1)	alias
deroon.zip	Deroon Derodero	Deroon DeroDero (earlier, set 1)	—	Deroon DeroDero (earlier, set 1)	alias
desertbr.zip	Desert Breaker	Desert Breaker (FD1094 317-0196)	World	Desert Breaker (FD1094 317-0196) (World)	alias
desertwr.zip	Desert War	Desert War / Wangan Sensou (ver 1.0)	—	Desert War / Wangan Sensou (ver 1.0)	alias
devilfsh.zip	Devil Fish	Devil Fish (Mars hardware)	—	Devil Fish (Mars hardware)	alias
devstors.zip	Devastators	Devastators (ver. Z)	—	Devastators (ver. Z)	alias
dfkbl.zip	DoDonPachi Dai-Fukkatsu Black Label	DoDonPachi Dai-Fukkatsu Black Label (2010/1/18 BLACK LABEL)	—	DoDonPachi Dai-Fukkatsu Black Label (2010/1/18 BLACK LABEL)	alias
dietgoe.zip	Diet Go Go	Diet Go Go (Europe v1.1 1992.09.26, set 2)	—	Diet Go Go (Europe v1.1 1992.09.26, set 2)	alias
digdug.zip	Dig Dug	Dig Dug (rev 2)	—	Dig Dug (rev 2)	alias
digdug2.zip	Dig Dug II	Dig Dug II (New Ver.)	—	Dig Dug II (New Ver.)	alias
diggerma.zip	Digger Man	Digger Man (prototype)	—	Digger Man (prototype)	alias
dino.zip	Cadillacs and Dinosaurs	Cadillacs and Dinosaurs (World 930201)	—	Cadillacs and Dinosaurs (World 930201)	alias
dinorex.zip	Dino Rex	Dino Rex	World	Dino Rex (World)	alias
dirtfoxj.zip	Dirt Fox	Dirt Fox	Japan	Dirt Fox (Japan)	alias
divebomb.zip	Kyuukoukabakugekitai - Dive Bomber Squad	Kyuukoukabakugekitai - Dive Bomber Squad (prototype)	Japan	Kyuukoukabakugekitai - Dive Bomber Squad (prototype) (Japan)	alias
djboy.zip	Dj Boy	DJ Boy	World	DJ Boy (World)	alias
dkong.zip	Donkey Kong	Donkey Kong (US set 1)	—	Donkey Kong (US set 1)	alias
dkong3.zip	Donkey Kong 3	Donkey Kong 3	USA	Donkey Kong 3 (USA)	alias
dkongjr.zip	Donkey Kong Junior	Donkey Kong Junior (US set F-2)	—	Donkey Kong Junior (US set F-2)	alias
dleague.zip	Dynamite League	Dynamite League	USA	Dynamite League (USA)	alias
dmnfrnt.zip	Demon Front	Demon Front / Moyu Zhanxian (68k label V105, ROM M105XX 08/05/02) (ARM label V105, ROM 08/05/02 S105XX)	—	Demon Front / Moyu Zhanxian (68k label V105, ROM M105XX 08/05/02) (ARM label V105, ROM 08/05/02 S105XX)	alias
docastle.zip	Mr. Do's Castle	Mr. Do's Castle (set 1)	—	Mr. Do's Castle (set 1)	alias
dockman.zip	Dock Man	Dock Man (set 1)	—	Dock Man (set 1)	alias
dogfight.zip	Dog Fight	Dog Fight (Thunderbolt)	—	Dog Fight (Thunderbolt)	alias
dokaben2.zip	Dokaben 2	Dokaben 2	Japan	Dokaben 2 (Japan)	alias
domino.zip	Domino Man	Domino Man (set 1)	—	Domino Man (set 1)	alias
dondokod.zip	Don Doko Don	Don Doko Don (rev 1)	World	Don Doko Don (rev 1) (World)	alias
donight.zip	Mr. Do!	Mr.Do's Nightmare (hack by Krazy Ivan)	—	Mr.Do's Nightmare (hack by Krazy Ivan)	alias
donpachi.zip	DonPachi (USA, ver. 1.12, 95/05/2x)	DonPachi (ver. 1.12, 95/05/2x)	USA	DonPachi (ver. 1.12, 95/05/2x) (USA)	alias
dorunrun.zip	Do! Run Run	Do! Run Run (set 1)	—	Do! Run Run (set 1)	alias
dotrikun.zip	Dottori Kun	Dottori Kun (new version)	—	Dottori Kun (new version)	alias
dotron.zip	Discs Of Tron	Discs of Tron (Upright, 10/4/83)	—	Discs of Tron (Upright, 10/4/83)	alias
doubledr.zip	Double Dragon	Double Dragon (Neo-Geo)	—	Double Dragon (Neo-Geo)	alias
downtown.zip	Downtown / Mokugeki	DownTown / Mokugeki (set 1)	—	DownTown / Mokugeki (set 1)	alias
dquizgo.zip	Date Quiz Go Go	Date Quiz Go Go	Korea	Date Quiz Go Go (Korea)	alias
dragngun.zip	Dragon Gun	Dragon Gun	USA	Dragon Gun (USA)	alias
dragonsh.zip	Dragon's Heaven	Dragon's Heaven (development board)	—	Dragon's Heaven (development board)	alias
dreambal.zip	Dream Ball	Dream Ball (Japan V2.4)	—	Dream Ball (Japan V2.4)	alias
drgnbowl.zip	Dragon Bowl	Dragon Bowl (set 1, encrypted program)	—	Dragon Bowl (set 1, encrypted program)	alias
drgnmst.zip	Dragon Master	Dragon Master (set 1)	—	Dragon Master (set 1)	alias
drgnunit.zip	Castle of Dragon	Dragon Unit / Castle of Dragon	—	Dragon Unit / Castle of Dragon	alias
drgw2.zip	Dragon World II	Dragon World II (ver. 110X, Export)	—	Dragon World II (ver. 110X, Export)	alias
drgw3.zip	Dragon World 3	Dragon World 3 / Zhongguo Long 3 / Dungfong Zi Zyu 3 / Chuugokuryuu 3 Special (ver. 106)	—	Dragon World 3 / Zhongguo Long 3 / Dungfong Zi Zyu 3 / Chuugokuryuu 3 Special (ver. 106)	alias
dribling.zip	Dribbling	Dribbling (set 1)	—	Dribbling (set 1)	alias
drifto94.zip	Drift Out '94 - The Hard Order	Drift Out '94 - The Hard Order	Japan	Drift Out '94 - The Hard Order (Japan)	alias
driftout.zip	Drift Out	Drift Out	Europe	Drift Out (Europe)	alias
drivfrcp.zip	Driving Force	Driving Force (Pac-Man conversion)	—	Driving Force (Pac-Man conversion)	alias
drtoppel.zip	Dr. Toppel's Adventure	Dr. Toppel's Adventure	World	Dr. Toppel's Adventure (World)	alias
dsaber.zip	Dragon Saber	Dragon Saber (DO2)	World	Dragon Saber (DO2) (World)	alias
dsmbl.zip	Deathsmiles MegaBlack Label	Deathsmiles MegaBlack Label (2008/10/06 MEGABLACK LABEL VER)	—	Deathsmiles MegaBlack Label (2008/10/06 MEGABLACK LABEL VER)	alias
dsoccr94.zip	Dream Soccer '94	Dream Soccer '94 (M107 hardware)	World	Dream Soccer '94 (M107 hardware) (World)	alias
dspirit.zip	Dragon Spirit	Dragon Spirit (new version (DS3))	—	Dragon Spirit (new version (DS3))	alias
dstlk.zip	Darkstalkers: The Night Warriors	Darkstalkers: The Night Warriors (Europe 940705)	—	Darkstalkers: The Night Warriors (Europe 940705)	alias
ducki.zip	ZZZ(notgame):Demos	Duck Tales (FMV Demo)	—	Duck Tales (FMV Demo)	check
dunkshot.zip	Dunk Shot	Dunk Shot (Rev C, FD1089A 317-0022)	—	Dunk Shot (Rev C, FD1089A 317-0022)	alias
dw2001.zip	Chuugokuryuu 2001 [dragon World 2001]	Chuugokuryuu 2001 [Dragon World 2001] (V100 02/21/01 16:05:16)	Japan	Chuugokuryuu 2001 [Dragon World 2001] (V100 02/21/01 16:05:16) (Japan)	alias
dwex.zip	Dragon World 3 Ex	Dragon World 3 EX / Zhongguo Long 3 EX / Dungfong Zi Zyu 3 EX / Chuugokuryuu 3 EX (ver. 100)	—	Dragon World 3 EX / Zhongguo Long 3 EX / Dungfong Zi Zyu 3 EX / Chuugokuryuu 3 EX (ver. 100)	alias
dwi.zip	ZZZ(notgame):Demos	DarkWing Duck (FMV Demo)	—	DarkWing Duck (FMV Demo)	check
dwpc.zip	Chuugokuryuu Pretty Chance [dragon World Pretty Chance]	Zhongguo Long Pretty Chance [Dragon World Pretty Chance] (V110 03/19/02 11:13:16)	China	Zhongguo Long Pretty Chance [Dragon World Pretty Chance] (V110 03/19/02 11:13:16) (China)	alias
dynablst.zip	Atomic Punk	Dynablaster / Bomber Man	—	Dynablaster / Bomber Man	check
dynabomb.zip	Dynamite Bomber	Dynamite Bomber (Rev 1.5)	Korea	Dynamite Bomber (Rev 1.5) (Korea)	alias
dynduke.zip	Dynamite Duke	Dynamite Duke (03SEP89)	Europe	Dynamite Duke (03SEP89) (Europe)	alias
dynwar.zip	Dynasty Wars	Dynasty Wars (B-Board 89624B-?)	USA	Dynasty Wars (B-Board 89624B-?) (USA)	alias
eaglshot.zip	Eagle Shot Golf	Eagle Shot Golf	USA	Eagle Shot Golf (USA)	alias
earthjkr.zip	U.N. Defense Force: Earth Joker	U.N. Defense Force: Earth Joker (US / Japan, set 1)	—	U.N. Defense Force: Earth Joker (US / Japan, set 1)	alias
ecofghtr.zip	Eco Fighters	Eco Fighters (World 931203)	—	Eco Fighters (World 931203)	alias
edf.zip	E.D.F. : Earth Defense Force	E.D.F.: Earth Defense Force (set 1)	—	E.D.F.: Earth Defense Force (set 1)	alias
edrandy.zip	The Cliffhanger: Edward Randy	The Cliffhanger - Edward Randy (World ver 3)	—	The Cliffhanger - Edward Randy (World ver 3)	alias
eightman.zip	Eight Man	Eight Man (NGM-025 ~ NGH-025)	—	Eight Man (NGM-025 ~ NGH-025)	alias
ejanhs.zip	E Jong High School	E Jong High School	Japan	E Jong High School (Japan)	alias
ejsakura.zip	E-jan Sakurasou	E-Jan Sakurasou (SYS386F V2.0)	Japan	E-Jan Sakurasou (SYS386F V2.0) (Japan)	alias
elecyoyo.zip	The Electric Yo-Yo	The Electric Yo-Yo (rev 1)	—	The Electric Yo-Yo (rev 1)	alias
elevator.zip	Elevator Action	Elevator Action (BA3, 4 PCB version, 1.1)	—	Elevator Action (BA3, 4 PCB version, 1.1)	alias
elim2.zip	Eliminator	Eliminator (2 Players, set 1)	—	Eliminator (2 Players, set 1)	alias
elvactr.zip	Elevator Action Returns	Elevator Action Returns (Ver 2.2O 1995/02/20)	—	Elevator Action Returns (Ver 2.2O 1995/02/20)	alias
emeralda.zip	Emeraldia	Emeraldia	World	Emeraldia (World)	alias
empcity.zip	Empire City: 1931	Empire City: 1931 (bootleg?)	—	Empire City: 1931 (bootleg?)	alias
enduror.zip	Enduro Racer	Enduro Racer (Rev A, YM2151, FD1089B 317-0013A)	—	Enduro Racer (Rev A, YM2151, FD1089B 317-0013A)	alias
eprom.zip	Escape From The Planet Of The Robot Monsters	Escape from the Planet of the Robot Monsters (set 1)	—	Escape from the Planet of the Robot Monsters (set 1)	alias
esckids.zip	Escape Kids	Escape Kids (4 Players)	Asia	Escape Kids (4 Players) (Asia)	alias
espgal.zip	Espgaluda	Espgaluda (2003/10/15 Master Ver)	—	Espgaluda (2003/10/15 Master Ver)	alias
espgal2.zip	Espgaluda II	Espgaluda II (2005/11/14.MASTER VER.)	—	Espgaluda II (2005/11/14.MASTER VER.)	alias
esprade.zip	ESP Ra.De.	ESP Ra.De. - A.D.2018 Tokyo (1998 4/22 International Ver.)	World	ESP Ra.De. - A.D.2018 Tokyo (1998 4/22 International Ver.) (World)	alias
eswat.zip	E-swat - Cyber Police	Cyber Police ESWAT (set 4) (FD1094 317-0130)	World	Cyber Police ESWAT (set 4) (FD1094 317-0130) (World)	alias
eto.zip	Kokontouzai Eto Monogatari	Kokontouzai Eto Monogatari	Japan	Kokontouzai Eto Monogatari (Japan)	alias
euroch92.zip	Euro Champ '92	Euro Champ '92	World	Euro Champ '92 (World)	alias
excelsr.zip	Excelsior	Excelsior (set 1)	—	Excelsior (set 1)	alias
exctleag.zip	Excite League	Excite League (FD1094 317-0079)	—	Excite League (FD1094 317-0079)	alias
explbrkr.zip	Explosive Breaker	Explosive Breaker	World	Explosive Breaker (World)	alias
exprraid.zip	Express Raider	Express Raider (Rev 4)	World	Express Raider (Rev 4) (World)	alias
extdwnhl.zip	Extreme Downhill	Extreme Downhill (v1.5)	—	Extreme Downhill (v1.5)	alias
extrmatn.zip	Extermination	Extermination	World	Extermination (World)	alias
exzisus.zip	Exzisus (Japan, dedicated)	Exzisus (dedicated)	Japan	Exzisus (dedicated) (Japan)	alias
eyes.zip	Eyes (US, set 1)	Eyes (set 1)	USA	Eyes (set 1) (USA)	alias
f1en.zip	F1 Exhaust Note	F1 Exhaust Note (Rev A)	World	F1 Exhaust Note (Rev A) (World)	alias
f1gp.zip	F-1 Grand Prix	F-1 Grand Prix (set 1)	—	F-1 Grand Prix (set 1)	alias
f1gpstar.zip	Grand Prix Star	Grand Prix Star (ver 4.0)	—	Grand Prix Star (ver 4.0)	alias
f1lap.zip	F1 Super Lap	F1 Super Lap	World	F1 Super Lap (World)	alias
faceoff.zip	Face Off	Face Off (Japan 2 Players)	—	Face Off (Japan 2 Players)	alias
fantastc.zip	Fantastic	Fantastic (Galaga conversion on Galaxian hardware)	—	Fantastic (Galaga conversion on Galaxian hardware)	alias
fantasyu.zip	Fantasy	Fantasy	USA	Fantasy (USA)	alias
fantland.zip	Fantasy Land	Fantasy Land (set 1)	—	Fantasy Land (set 1)	alias
fantsia2.zip	Fantasia II	Fantasia II (Explicit)	—	Fantasia II (Explicit)	alias
fantzn2.zip	Fantasy Zone II: The Tears of Opa-Opa	Fantasy Zone II - The Tears of Opa-Opa (MC-8123, 317-0057)	—	Fantasy Zone II - The Tears of Opa-Opa (MC-8123, 317-0057)	alias
